Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G467""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H467""))>0,0),""Mac Pass"",""Mac Fail"")",,Downloaded Fonts  Syncs with 'Fonts' folder,,,,
Folder Structure,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G469""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H469""))>0,0),""Mac Pass"",""Mac Fail"")",,Add new folder to Fonts,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G470""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H470""))>0,0),""Mac Pass"",""Mac Fail"")",,Add new Subfolder to ^,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G471""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H471""))>0,0),""Mac Pass"",""Mac Fail"")",,Add new folder to Patterns,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G472""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H472""))>0,0),""Mac Pass"",""Mac Fail"")",,Add new Subfolder to ^,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G473""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H473""))>0,0),""Mac Pass"",""Mac Fail"")",,Add new folder to Library,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G474""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H474""))>0,0),""Mac Pass"",""Mac Fail"")",,Add new Subfolder to ^,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G475""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H475""))>0,0),""Mac Pass"",""Mac Fail"")",,Delete all folders / subfolders created,,,,
Export Library,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G477""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H477""))>0,0),""Mac Pass"",""Mac Fail"")",,Export library with 10 Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G478""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H478""))>0,0),""Mac Pass"",""Mac Fail"")",,Export Library with 10k Files,,,,
Import Library,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G480""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H480""))>0,0),""Mac Pass"",""Mac Fail"")",,Import Library with 10 Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G481""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H481""))>0,0),""Mac Pass"",""Mac Fail"")",,Import Library with 10k Files,,,,
Font Management,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G483""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H483""))>0,0),""Mac Pass"",""Mac Fail"")",,Create folders,Designer Edition and Above,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G484""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H484""))>0,0),""Mac Pass"",""Mac Fail"")",,Create subfolders,Designer Edition and Above,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G485""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H485""))>0,0),""Mac Pass"",""Mac Fail"")",,Add fonts to various folders,Designer Edition and Above,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G486""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H486""))>0,0),""Mac Pass"",""Mac Fail"")",,Remove fonts from folders,Designer Edition and Above,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G487""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H487""))>0,0),""Mac Pass"",""Mac Fail"")",,Change the name of the folders,Designer Edition and Above,,,
PDF Viewer,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G489""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H489""))>0,0),""Mac Pass"",""Mac Fail"")",,Open PDF view from cloud,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G490""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H490""))>0,0),""Mac Pass"",""Mac Fail"")",,Zoom in,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G491""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H491""))>0,0),""Mac Pass"",""Mac Fail"")",,Zoom out,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G492""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H492""))>0,0),""Mac Pass"",""Mac Fail"")",,Fit to Page,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G493""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H493""))>0,0),""Mac Pass"",""Mac Fail"")",,Mouse scroll through pages,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G494""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H494""))>0,0),""Mac Pass"",""Mac Fail"")",,Page Up,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G495""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H495""))>0,0),""Mac Pass"",""Mac Fail"")",,Page Down,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G496""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H496""))>0,0),""Mac Pass"",""Mac Fail"")",,Manually enter a page number,,,,
Design Page Settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G498""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H498""))>0,0),""Mac Pass"",""Mac Fail"")",,No Cutting Mat,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G499""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H499""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait Cutting Mat,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G500""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H500""))>0,0),""Mac Pass"",""Mac Fail"")",,"CAMEO 12""x 12"" Cutting Mat",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G501""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H501""))>0,0),""Mac Pass"",""Mac Fail"")",,"CAMEO 12""x 24"" Cutting Mat",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G502""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H502""))>0,0),""Mac Pass"",""Mac Fail"")",,Stamp Cutting Mat,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G503""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H503""))>0,0),""Mac Pass"",""Mac Fail"")",,"Curio Cut (8.5"" x 12"") Cutting Mat",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G504""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H504""))>0,0),""Mac Pass"",""Mac Fail"")",,"Curio Cut (8.5"" x 6"") Cutting Mat",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G505""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H505""))>0,0),""Mac Pass"",""Mac Fail"")",,"Curio Emboss (8.5"" x 12"") Cutting Mat",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G506""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H506""))>0,0),""Mac Pass"",""Mac Fail"")",,"Curio Emboss (8.5"" x 6"") Cutting Mat",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G507""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H507""))>0,0),""Mac Pass"",""Mac Fail"")",,Alta Print Bed,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G508""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H508""))>0,0),""Mac Pass"",""Mac Fail"")",,Cutting Mat Reveal (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G509""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H509""))>0,0),""Mac Pass"",""Mac Fail"")",,"Select ALL Page Sizes from 
Dropdown List",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G510""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H510""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Page Width (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G511""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H511""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Page Height (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G512""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H512""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Portrait Orientaion,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G513""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H513""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Landscape Orientaion,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G514""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H514""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate 0° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G515""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H515""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate 90° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G516""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H516""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate 180° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G517""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H517""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate 270° ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G518""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H518""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Show Print Border on /off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G519""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H519""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Show Cut Border on /off,,,,
Print Bleed,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G521""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H521""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Print Bleed,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G522""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H522""))>0,0),""Mac Pass"",""Mac Fail"")",,Bleed Radius (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G523""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H523""))>0,0),""Mac Pass"",""Mac Fail"")",,Print File,,,,
Grid,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G525""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H525""))>0,0),""Mac Pass"",""Mac Fail"")",,Show / Hide Grid,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G526""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H526""))>0,0),""Mac Pass"",""Mac Fail"")",,Snap to Grid,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G527""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H527""))>0,0),""Mac Pass"",""Mac Fail"")",,Show / Hide Guides,Designer Edition and Above,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G528""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H528""))>0,0),""Mac Pass"",""Mac Fail"")",,Snap to Guides,Designer Edition and Above,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G529""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H529""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Square Style,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G530""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H530""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Isometric Style,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G531""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H531""))>0,0),""Mac Pass"",""Mac Fail"")",,Spacing (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G532""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H532""))>0,0),""Mac Pass"",""Mac Fail"")",,Divisions ( 3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G533""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H533""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Grid Color,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G534""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H534""))>0,0),""Mac Pass"",""Mac Fail"")",,Rulers,Designer Edition and Above,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G535""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H535""))>0,0),""Mac Pass"",""Mac Fail"")",,Crosshairs,Designer Edition and Above,,,
Reg-Marks,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G537""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H537""))>0,0),""Mac Pass"",""Mac Fail"")",,Reg Marks Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G538""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H538""))>0,0),""Mac Pass"",""Mac Fail"")",,"Type 1 Reg Marks (CAMEO, Portrait)",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G539""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H539""))>0,0),""Mac Pass"",""Mac Fail"")",,"Type 2  Reg Marks (Original, SD)",,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G540""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H540""))>0,0),""Mac Pass"",""Mac Fail"")",,Mark Length (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G541""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H541""))>0,0),""Mac Pass"",""Mac Fail"")",,Mark Thickness (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G542""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H542""))>0,0),""Mac Pass"",""Mac Fail"")",,Inset (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G543""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H543""))>0,0),""Mac Pass"",""Mac Fail"")",,Restore Defaults,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G544""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H544""))>0,0),""Mac Pass"",""Mac Fail"")",,Default Reg Marks,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G545""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H545""))>0,0),""Mac Pass"",""Mac Fail"")",,Inverted Reg Marks,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G546""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H546""))>0,0),""Mac Pass"",""Mac Fail"")",,Enableble Barcode,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G547""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H547""))>0,0),""Mac Pass"",""Mac Fail"")",,Add Barcode File to Cloud Account,Saved to account when desgin is printed.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G548""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H548""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut the printed desgin without the desgin being open.,Requires Cameo 3 or Portrait 2. ,,,
Advanced Reg-Mark Options,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G550""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H550""))>0,0),""Mac Pass"",""Mac Fail"")",,Left Mark Inset (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G551""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H551""))>0,0),""Mac Pass"",""Mac Fail"")",,Top Mark Inset (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G552""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H552""))>0,0),""Mac Pass"",""Mac Fail"")",,Right Mark Inset (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G553""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H553""))>0,0),""Mac Pass"",""Mac Fail"")",,Botom Mark Inset (3 inputs),,,,
Send to 3D,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G555""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H555""))>0,0),""Mac Pass"",""Mac Fail"")",,Extrusion,Requires the Alta Print Bed selected.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G556""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H556""))>0,0),""Mac Pass"",""Mac Fail"")",,Cookie Cutter,Requires the Alta Print Bed selected.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G557""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H557""))>0,0),""Mac Pass"",""Mac Fail"")",,Jewellry Box,Requires the Alta Print Bed selected.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G558""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H558""))>0,0),""Mac Pass"",""Mac Fail"")",,Stencil Box,Requires the Alta Print Bed selected.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G559""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H559""))>0,0),""Mac Pass"",""Mac Fail"")",,Stencil ,Requires the Alta Print Bed selected.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G560""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H560""))>0,0),""Mac Pass"",""Mac Fail"")",,Wax Pendant,Requires the Alta Print Bed selected.,,,
Weed Lines,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G562""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H562""))>0,0),""Mac Pass"",""Mac Fail"")",,Weed Lines Off,Business Edition.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G563""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H563""))>0,0),""Mac Pass"",""Mac Fail"")",,Horizontal Weed Lines,Business Edition.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G564""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H564""))>0,0),""Mac Pass"",""Mac Fail"")",,Vertical Weed Lines,Business Edition.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G565""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H565""))>0,0),""Mac Pass"",""Mac Fail"")",,H/V Weed Lines,Business Edition.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G566""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H566""))>0,0),""Mac Pass"",""Mac Fail"")",,Recursive Weed Lines,Business Edition.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G567""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H567""))>0,0),""Mac Pass"",""Mac Fail"")",,Padding (3 inputs),Business Edition.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G568""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H568""))>0,0),""Mac Pass"",""Mac Fail"")",,Only Shapes on Media,Business Edition. Toggle on / off.,,,
PixScan,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G570""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H570""))>0,0),""Mac Pass"",""Mac Fail"")",,Import from File,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G571""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H571""))>0,0),""Mac Pass"",""Mac Fail"")",,Cancel import,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G572""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H572""))>0,0),""Mac Pass"",""Mac Fail"")",,Continue import without Calibration,,,,
Camera Calibration,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G574""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H574""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Calbiration Test Card,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G575""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H575""))>0,0),""Mac Pass"",""Mac Fail"")",,Letter ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G576""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H576""))>0,0),""Mac Pass"",""Mac Fail"")",,Ledger,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G577""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H577""))>0,0),""Mac Pass"",""Mac Fail"")",,A4,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G578""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H578""))>0,0),""Mac Pass"",""Mac Fail"")",,A3,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G579""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H579""))>0,0),""Mac Pass"",""Mac Fail"")",,None,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G580""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H580""))>0,0),""Mac Pass"",""Mac Fail"")",,Auto,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G581""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H581""))>0,0),""Mac Pass"",""Mac Fail"")",,+ (Import Calibration image),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G582""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H582""))>0,0),""Mac Pass"",""Mac Fail"")",,- (remove Calibration),,,,
Import from Scanner,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G584""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H584""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Scanner from drop-down List,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G585""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H585""))>0,0),""Mac Pass"",""Mac Fail"")",,Remove All,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G586""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H586""))>0,0),""Mac Pass"",""Mac Fail"")",,Remove Top,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G587""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H587""))>0,0),""Mac Pass"",""Mac Fail"")",,Remove Bottom,,,,
Menus,,,,,,,
File,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G590""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H590""))>0,0),""Mac Pass"",""Mac Fail"")",,New,Ctrl+N,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G591""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H591""))>0,0),""Mac Pass"",""Mac Fail"")",,New Project Wizard,Ctrl+Shift+N,,,
